,BOM #,# Sparrow,Parts sparrow,Type,Value,Shape,Manuf,Model,Alt,Mouser #,DK #
,,,,,,,,,,,
Resistors,,,,,,,,,,,
,1,4,"R5, R6, R40, R41",Resistor,33Ω 1%,0603,Samsung,RC1608F330CS,"Vishay CRCW060333R0FKEA, Rohm MCR03ERTF33R0",71-CRCW0603-33-E3,1276-4524-1-ND
,2,4,"R17, R18, R19, R20",Resistor,49.9Ω 1%,0603,Samsung,RC1608F49R9CS,Vishay CRCW060349R9FKEA,71-CRCW0603-49.9-E3,1276-3505-1-ND
,3,2,"R14, R15",Resistor,330Ω,0603,Samsung,RC1608J331CS,"Yageo RC0603JR-07330RL, Yageo AF0603FR-07330RL, Vishay CRCW0603330RFKEA ",71-CRCW0603-330-E3,311-330GRCT-ND
,4,1,R3,Resistor,806Ω,0603,Yageo,RC0603FR-07806RL,KOA RK73H1JTTD8060F,660-RK73H1JTTD8060F,311-806HRCT-ND
,5,4,"R4, R43, R44, R45",Resistor,1K,0603,Samsung,RC1608J102CS,"Vishay CRCW06031K00FKEA, KOA RK73H1JTTD1001F",660-RK73H1JTTD1001F,1276-5062-1-ND
,6,5,"R21, R22, R23, R38, R39",Resistor,2.2K,0603,Samsung,RC1608J222CS,"KOA RK73H1JTTD2201F, Vishay CRCW06032K20FKEA, Yageo RC0603JR-072K2L",660-RK73H1JTTD2201F,1276-5070-1-ND
,7,9,"R30, R32, R42, R8, R9, R10, R11, R12, R13",Resistor,10K,0603,Samsung,RC1608J103CS,"Yageo RC0603JR-0710KL, Voshay CRCW060310K0FKEA, KOA RK73H1JTTD1002F",660-RK73H1JTTD1002F,1276-5086-1-ND
,8,1,R7,Resistor,12K 1%,0603,Samsung,RC1608F123CS,"Rohm MCR03ERTF1202, KOA RK73H1JTTD1212F, Vishay CRCW060312K1FKEA",660-RK73H1JTTD1212F,1276-4750-1-ND
,9,1,R16,Resistor,12.1K 1%,0603,Samsung,RC1608F1212CS,"KOA RK73H1JTTD1212F, Vishay CRCW060312K1FKEA, Stackpole RMCF0603FT12K1",660-RK73H1JTTD1212F,1276-4751-1-ND
,10,1,R26,Resistor,40.2K,0603,Samsung,RC1608F4022CS,"Yageo RC0603FR-0740K2L, KOA RK73H1JTTD4022F, Vishay CRCW060340K2FKEB",660-RK73H1JTTD4022F,1276-4800-1-ND
,11,11,"R24, R25, R27, R28, R29, R31, R33, R34, R35, R36, R37",Resistor,100K,0603,Samsung,RC1608J104CS,"Yageo RC0603JR-07100KL, Vishay CRCW0603100KFKEA, KOA RK73H1JTTD1003F",660-RK73H1JTTD1003F,1276-5110-1-ND
